Name,URL,Author,Price,Number of Ratings,Average Rating
An Era of Darkness: The British Empire in India,http://www.amazon.in/Era-Darkness-British-Empire-India/dp/938306465X?_encoding=UTF8&psc=1,Shashi Tharoor,   437.00,4.5 out of 5 stars,326
Science Textbook for Class - 9  - 964,http://www.amazon.in/Science-Textbook-Class-9-964/dp/8174504923?_encoding=UTF8&psc=1,NCERT,   135.00,3.4 out of 5 stars,54
Everyone Has A Story,http://www.amazon.in/Everyone-Has-Story-Savi-Sharma/dp/9386036754?_encoding=UTF8&psc=1,Savi Sharma,   100.00,4.1 out of 5 stars,"2,833"
Peppa Pig: Fairy Tale Little Library,http://www.amazon.in/Peppa-Pig-Fairy-Little-Library/dp/1409306178?_encoding=UTF8&psc=1,Lauren Holowaty,   133.00,3.9 out of 5 stars,215
Mathematics Textbook for Class - 9  - 962,http://www.amazon.in/Mathematics-Textbook-Class-9-962/dp/8174504893?_encoding=UTF8&psc=1,NCERT,   135.00,3.7 out of 5 stars,45
India's Struggle for Independence: 1857-1947,http://www.amazon.in/Indias-Struggle-Independence-Bipan-Chandra/dp/0140107819?_encoding=UTF8&psc=1,Bipan Chandra,   208.00,4.3 out of 5 stars,681
"Thinking, Fast and Slow (Penguin Press Non-Fiction)",http://www.amazon.in/Thinking-Fast-Penguin-Press-Non-Fiction/dp/0141033576?_encoding=UTF8&psc=1,Daniel Kahneman,   350.00,4.5 out of 5 stars,456
Guide to CLAT & LL.B. Entrance Examination 2018-19,http://www.amazon.in/Guide-LL-B-Entrance-Examination-2018-19/dp/8131253627?_encoding=UTF8&psc=1,Universal's,   648.00,3.8 out of 5 stars,19
"Pregnancy Notes: Before, During & After",http://www.amazon.in/Pregnancy-Notes-Before-During-After/dp/9386224895?_encoding=UTF8&psc=1,Rujuta Diwekar,   112.00,3.9 out of 5 stars,142
Quantitative Aptitude for Competitive Examinations (Old Edition),http://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Old/dp/8121924987?_encoding=UTF8&psc=1,R.S. Aggarwal,   299.00,3.8 out of 5 stars,"1,925"
Indian Superfoods: Change the Way You Eat,http://www.amazon.in/Indian-Superfoods-Change-Way-You/dp/8193237234?_encoding=UTF8&psc=1,Rujuta Diwekar,   213.00,4.1 out of 5 stars,247
Black Holes: The Reith Lectures,http://www.amazon.in/Black-Holes-Lectures-Stephen-Hawking/dp/085750357X?_encoding=UTF8&psc=1,Stephen Hawking,   80.00,4.3 out of 5 stars,101
General Knowledge 2019,http://www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/931214734X?_encoding=UTF8&psc=1,Manohar Pandey,   120.00,4.0 out of 5 stars,21
Homo Deus: A Brief History of Tomorrow,http://www.amazon.in/Homo-Deus-Brief-History-Tomorrow/dp/1784703931?_encoding=UTF8&psc=1,Yuval Noah Harari,   386.00,4.5 out of 5 stars,167
